scenario,step,t,x,y,z,vx,vy,vz,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,err_x,err_y,err_z,err_norm,thrust_cmd,rates_des_x,rates_des_y,rates_des_z,action0,action1,action2,action3,noise_active,dropout_active,dropout_mode,reward
normal,1790,8.955,1.26440078189433,-0.43925778519641906,1.0038121772727293,0.1377082649159439,0.39020228684512376,0.009718179242215805,1.26440078189433,-0.43925778519641906,1.0038121772727293,0.1377082649159439,0.39020228684512376,0.009718179242215805,-0.01832939178538351,-0.017382044708200456,0.016118921865843606,-0.19268958410360393,-0.16858449657892338,0.018845796137396724,0.7920766142499669,-0.6104216879816027,1.0,-0.472324167644363,-0.17116390278518362,-0.0038121772727293113,0.5023959928713155,0.2566002878805851,-0.048190328108743616,0.06659703503483225,-0.06659107930568872,0.085447505,-0.046018373,0.06359548,-0.0635898,False,False,NONE,-0.5050191037476786
normal,1791,8.96,1.2657630933555937,-0.4353499223012585,1.003905909706661,0.13572467616019074,0.39099701827824573,0.009291190054491699,1.2657630933555937,-0.4353499223012585,1.003905909706661,0.13572467616019074,0.39099701827824573,0.009291190054491699,-0.020244217598109845,-0.018500457276520253,0.016243796775438794,-0.1880719696276557,-0.09302279740936734,0.00747835706146755,0.7939903986478356,-0.607930297694605,1.0,-0.47177269470775807,-0.17258037539334653,-0.003905909706660937,0.5023631331749618,0.2566657120834902,-0.028506728576616763,0.08426584999026256,-0.06713118843600806,0.08604296,-0.02722192,0.08046796,-0.06410556,False,False,NONE,-0.5049796360751728
normal,1792,8.965000000000002,1.2671047037002663,-0.43143284378261093,1.003988801723848,0.13363336381324764,0.39195893666979736,0.007910186173931454,1.2671047037002663,-0.43143284378261093,1.003988801723848,0.13363336381324764,0.39195893666979736,0.007910186173931454,-0.021762621713037087,-0.01864639469240087,0.016227995216114503,-0.13807375994506568,0.014356026710901415,-0.005199334996702791,0.7958963466810165,-0.6054329073810005,1.0,-0.4712083570192498,-0.1740000635983896,-0.003988801723848079,0.5023238481261034,0.256985717081306,-0.009825067499193908,0.09545478886217215,-0.06710855218675119,0.088955484,-0.009382248,0.09115261,-0.06408395,False,False,NONE,-0.5049338642321601
normal,1793,8.970000000000002,1.2684249953602316,-0.4275048644170967,1.0040610534786163,0.13149247378567822,0.39309251064043654,0.007174652065982922,1.2684249953602316,-0.4275048644170967,1.0040610534786163,0.13149247378567822,0.39309251064043654,0.007174652065982922,-0.022536776031570817,-0.017402413161606112,0.016028301725675084,-0.060890041290934574,0.16636151427325085,-0.02148166205249899,0.7977944395385715,-0.6029295416890239,1.0,-0.47063055582166,-0.17542467727192723,-0.004061053478616294,0.5022782392502393,0.257141504375841,0.005121824463067256,0.09610468224196944,-0.0663498489793077,0.09037338,0.004890982,0.09177321,-0.06335944,False,False,NONE,-0.5048827945677022
normal,1794,8.975000000000003,1.2697243487882615,-0.423564679820346,1.004131236145943,0.129428772934158,0.39433391891633635,0.007045317457552247,1.2697243487882615,-0.423564679820346,1.004131236145943,0.129428772934158,0.39433391891633635,0.007045317457552247,-0.02295168844018634,-0.014940311350355234,0.015643741416882663,-0.041770495146726136,0.26406110047190257,-0.03680259665977093,0.7996846584870916,-0.6004202253258827,1.0,-0.4700396903011699,-0.17685554550553667,-0.004131236145942907,0.5022273006782628,0.2571394684126558,0.018610865931249592,0.0860483994648624,-0.06485071709768021,0.09035485,0.017772067,0.082170166,-0.061927874,False,False,NONE,-0.5048286148197021
normal,1795,8.980000000000004,1.2710046425022405,-0.41961167820184786,1.004201705266363,0.1275849501875671,0.3956255970064969,0.00703711666040766,1.2710046425022405,-0.41961167820184786,1.004201705266363,0.1275849501875671,0.3956255970064969,0.00703711666040766,-0.022771121608136217,-0.012196233319227109,0.015104209645672119,0.029644453827141103,0.28039751798865,-0.05072135581228378,0.801566984870878,-0.597904983057517,1.0,-0.4694376576313626,-0.1782933048556692,-0.004201705266362987,0.502173148710604,0.25710552248521334,0.028018319271439263,0.07103712494852323,-0.06273035053695222,0.09004589,0.026755525,0.06783546,-0.059903074,False,False,NONE,-0.5047738635249763
normal,1796,8.985000000000005,1.2722685037141397,-0.4156456813760409,1.0042727697291345,0.12601048097660228,0.39692088465683534,0.007074926084237977,1.2722685037141397,-0.4156456813760409,1.0042727697291345,0.12601048097660228,0.39692088465683534,0.007074926084237977,-0.02217447637866819,-0.009445804022980214,0.014419872549671118,0.06505684227080363,0.2680130487228156,-0.06598089595285958,0.8034414001121294,-0.5953838397083525,1.0,-0.4688271036020103,-0.1797381583323116,-0.004272769729134485,0.5021184274588012,0.2570591919903194,0.03420005316354306,0.05266739268156637,-0.060029051834322396,0.08962422,0.032658644,0.050293654,-0.057323523,False,False,NONE,-0.5047210811180289
normal,1797,8.990000000000006,1.2735187571877722,-0.41166715195737746,1.0043402505510757,0.12471911943884853,0.3981583493892739,0.00663340328480313,1.2735187571877722,-0.41166715195737746,1.0043402505510757,0.12471911943884853,0.3981583493892739,0.00663340328480313,-0.02149594716129651,-0.0073666386058693425,0.013667100302804852,0.06082051284137686,0.191821940919182,-0.07214708435560808,0.8053078857111237,-0.592856820161057,1.0,-0.4682108714766485,-0.18118966820367954,-0.004340250551075675,0.5020656867457965,0.257139901861642,0.039075665610420265,0.03620042312759927,-0.057052130597614346,0.0903588,0.03731451,0.034568857,-0.054480772,False,False,NONE,-0.5046724908586481
normal,1798,8.995000000000006,1.274757847960955,-0.4076767613695789,1.00440237643803,0.12365545006239198,0.39932617205399745,0.005999495617697183,1.274757847960955,-0.4076767613695789,1.00440237643803,0.12365545006239198,0.39932617205399745,0.005999495617697183,-0.021073745690235957,-0.0062359620415961894,0.01289700645622186,0.03433213172426838,0.10049838591538783,-0.0755346084926484,0.8071664232464023,-0.5903239493562917,1.0,-0.4675914247145526,-0.1826471879867128,-0.004402376438030098,0.5020170481809765,0.25727334282218745,0.045218029890244045,0.024528028862050986,-0.05400399772742293,0.09157331,0.043180037,0.023422543,-0.05157002,False,False,NONE,-0.504629338313868
normal,1799,9.000000000000007,1.275987392449643,-0.40367509924855327,1.0044564209171694,0.12272940165240186,0.4004423555785348,0.005156970792057356,1.275987392449643,-0.40367509924855327,1.0044564209171694,0.12272940165240186,0.4004423555785348,0.005156970792057356,-0.021446496315568338,-0.005744580525679495,0.012112363273078438,-0.0638718301829915,0.03688467702518444,-0.07750802762609177,0.8090169943749499,-0.5877852522924697,1.0,-0.4669703980746931,-0.18411015304391642,-0.004456420917169357,0.5019738646775175,0.2574650088806552,0.05717615416681945,0.016266411038457596,-0.05089570590303194,0.09331776,0.054599207,0.015533279,-0.048601817,False,False,NONE,-0.5045923337786573
normal,1800,9.005000000000008,1.2772082720374962,-0.3996624614405316,1.004491903932839,0.12187817175255304,0.401538867587881,0.002837587471501195,1.2772082720374962,-0.3996624614405316,1.004491903932839,0.12187817175255304,0.401538867587881,0.002837587471501195,-0.022869584978179227,-0.00563980332365105,0.011294666400605436,-0.16104993996421246,0.010784082940543178,-0.08353603819492639,0.8108595808323763,-0.5852407540255061,1.0,-0.4663486912051199,-0.18557829258497455,-0.0044919039328390475,0.5019368303565943,0.25805167630141046,0.07740113132873723,0.010150534501131946,-0.047653155079141446,0.09865731,0.073912635,0.009693046,-0.045505412,False,False,NONE,-0.5045621107242991
